,categorie,motAnglais,traductionGoogle,traductionMaison,deuxiemeTraduction,troisiemeTraduction,quatriemeTraduction,francaisAsterisque,francaisAsterisque2,anglaisAsterisque,initiales,notes
539,energy,hydraulic fracturing,fracturation hydraulique,NA,NA,NA,NA,fracturaion* hydraulique*,NA,NA,CTA,
540,energy,hydro power,énergie hydroélectrique,NA,NA,NA,NA,énergie* hydroélectrique*,NA,hydro power*,CTA,
541,energy,hydroelectric,hydro-électrique,NA,hydroélectrique,NA,NA,hydro*électrique*,NA,hydroelectric*,CTA,
542,energy,hydrogen fuel,combustible hydrogène,carburant hydrogène,NA,NA,NA,combustible* hydrogène*,NA,hydrogen fuel*,CTA,
543,energy,home insulation,isolation de la maison,NA,NA,NA,NA,NA,NA,NA,CTA,
544,energy,natural gas,gaz naturel,NA,NA,NA,NA,NA,NA,NA,CTA,
545,energy,nuclear facilit,facilité nucléaire,install nucléaire,NA,NA,NA,install* nucléaire*,NA,nuclear facilit*,CTA,"centrale nucléaire, complexe nucléaire, facilité nucléaire"
546,energy,nuclear liabilit,responsabilité nucléaire,responsabilit nucléaire,NA,NA,NA,responsabilit* nucléaire*,NA,nuclear liabilit*,CTA,
547,energy,nuclear power,Pouvoir nucléaire,puissance nucléaire,NA,NA,NA,puissance* nucléaire*,NA,nuclear power*,CTA,énergie nucléaire
548,energy,nuclear reactor,réacteur nucléaire,NA,NA,NA,NA,réacteur* nucléaire*,NA,nuclear reactor*,CTA,
549,energy,nuclear safety,la sécurité nucléaire,sécurité nucléaire,NA,NA,NA,NA,NA,NA,CTA,
550,energy,offshore drilling,forage côtier,forage en mer,NA,NA,NA,forage* en mer,NA,offshore drilling*,CTA,"forage extracôtier, forage côtier"
551,energy,offshore gas,gaz offshore,NA,NA,NA,NA,NA,NA,NA,CTA,
552,energy,offshore oil,pétrole offshore,NA,NA,NA,NA,NA,NA,NA,CTA,
553,energy,oil export,exportation de pétrole,NA,NA,NA,NA,exportation* de pétrole,NA,oil export*,CTA,
554,energy,oil import,importation de pétrole,NA,NA,NA,NA,importation* de pétrole,NA,oil import*,CTA,
555,energy,oil produc,production de pétrole,produ de pétrole,NA,NA,NA,produ* de pétrole,NA,oil produc*,CTA,
556,energy,oil price,prix du pétrole,NA,NA,NA,NA,NA,NA,oil price*,CTA,
557,energy,oil sands,sables bitumineux,NA,NA,NA,NA,sable* bitumineux,NA,oil sand*,CTA,
558,energy,oil-exporting,exportateur de pétrole,NA,NA,NA,NA,exportateur* de pétrole,NA,NA,CTA,
559,energy,oil-importing,importateur de pétrole,NA,NA,NA,NA,importateur* de pétrole,NA,NA,CTA,
560,energy,ocean energy,énergie océanique,NA,énergie marine,énergie des océans,NA,NA,NA,NA,CTA,
561,energy,opec,opec,opep,NA,NA,NA,NA,NA,NA,CTA,
562,energy,peak oil,pic pétrolier,NA,NA,NA,NA,pic* pétrolier*,NA,NA,CTA,
563,energy,petro,petro,pétro,NA,NA,NA,pétro*,NA,petro*,CTA,
564,energy,power outage,panne de courant,NA,NA,NA,NA,panne* de courant,NA,power outage*,CTA,
565,energy,power plant,centrale électrique,NA,NA,NA,NA,centrale* électrique*,NA,power plant*,CTA,
566,energy,power shortage,pénurie d'électricité,NA,NA,NA,NA,pénurie* d'électricité,NA,power shortage*,CTA,
567,energy,renewable power,énergie renouvelable,NA,NA,NA,NA,énergie* renouvelable*,NA,renewable power*,CTA,
568,energy,renewables,énergies renouvelables,NA,NA,NA,NA,NA,NA,renewable*,CTA,
569,energy,shale gas,gaz de schiste,NA,NA,NA,NA,NA,NA,NA,CTA,
570,energy,solar panel,panneau solaire,NA,NA,NA,NA,panneau* solaire*,NA,solar panel*,CTA,
571,energy,solar power,énergie solaire,NA,NA,NA,NA,NA,NA,NA,CTA,
572,energy,tar sands,les sables bitumineux,x,NA,NA,NA,NA,NA,tar sand*,CTA,
573,energy,thermal power,Energie thermique,énergie thermique,NA,NA,NA,NA,NA,NA,CTA,
574,energy,tidal power,énergie marémotrice,NA,NA,NA,NA,NA,NA,NA,CTA,
575,energy,wave power,puissance des vagues,x,NA,NA,NA,NA,NA,NA,CTA,
576,energy,wind farm,parc éolien,NA,NA,NA,NA,parc* éolien*,NA,wind farm*,CTA,
577,energy,wind power,énergie éolienne,NA,NA,NA,NA,NA,NA,NA,CTA,
578,energy,three mile island,Île de trois milles,three mile island,NA,NA,NA,NA,NA,NA,CTA,
579,energy,chernobyl,Tchernobyl,tchernobyl,NA,NA,NA,NA,NA,NA,CTA,
580,energy,powergen,Powergen,powergen,NA,NA,NA,NA,NA,NA,CTA,alimenté
581,energy,national power,pouvoir national,NA,NA,NA,NA,NA,NA,NA,CTA,
582,fisheries,ahi,ahi,NA,NA,NA,NA,ahi*,NA,ahi*,CTA,
583,fisheries,albacore,germon,albacore,NA,NA,NA,albacore*,NA,albacore*,CTA,
584,fisheries,anchov,anchoi,NA,NA,NA,NA,anchoi*,NA,anchov*,CTA,
585,fisheries,aquaculture,aquaculture,NA,NA,NA,NA,aquaculture*,NA,aquaculture*,CTA,
586,fisheries,arctic char,omble chevalier,NA,NA,NA,NA,omble* chevalier*,NA,arctic char*,CTA,
587,fisheries,barramundi,barramundi,NA,NA,NA,NA,barramundi*,NA,barramundi*,CTA,
588,fisheries,bluefin,thon rouge,NA,NA,NA,NA,thon* rouge*,NA,bluefin*,CTA,
589,fisheries,bluefish,poisson bleu,NA,NA,NA,NA,poisson* bleu*,NA,bluefish*,CTA,
590,fisheries,calamari,calamars,calamar,calmar,NA,NA,cal*mar*,NA,calamari*,CTA,cal*mar*?
591,fisheries,catfish,Poisson-chat,poisson-chat,NA,NA,NA,Poisson* chat*,NA,catfish*,CTA,
592,fisheries,cod,la morue,morue,NA,NA,NA,morue*,NA,cod*,CTA,
593,fisheries,crab,Crabe,crabe,NA,NA,NA,crabe*,NA,crab*,CTA,
594,fisheries,crayfish,écrevisse,NA,NA,NA,NA,écrevisse*,NA,crayfish*,CTA,
595,fisheries,fish,poisson,NA,NA,NA,NA,poisson*,NA,fish*,CTA,
596,fisheries,flounder,patauger,plie,NA,NA,NA,plie*,NA,flounder*,CTA,"flet, patauger"
597,fisheries,grey snapper,vivaneau gris,NA,NA,NA,NA,vivaneau* gris,NA,grey snapper*,CTA,
598,fisheries,haddock,églefin,NA,aiglefin,NA,NA,églefin*,aiglefin*,haddock*,CTA,
599,fisheries,hake,merlu,NA,NA,NA,NA,merlu*,NA,hake*,CTA,
600,fisheries,halibut,flétan,NA,NA,NA,NA,flétan*,NA,halibut*,CTA,
601,fisheries,herring,hareng,NA,NA,NA,NA,hareng*,NA,herring*,CTA,
602,fisheries,lobster,Homard,homard,NA,NA,NA,homard*,NA,lobster*,CTA,
603,fisheries,mackerel,maquereau,NA,NA,NA,NA,maquereau*,NA,mackerel*,CTA,
604,fisheries,mahi mahi,mahi mahi,NA,NA,NA,NA,mahi mahi*,NA,mahi mahi*,CTA,
605,fisheries,marlin,marlin,NA,NA,NA,NA,marlin*,NA,marlin*,CTA,
606,fisheries,mollusk,mollusque,NA,NA,NA,NA,mollusque*,NA,mollusk*,CTA,
607,fisheries,monkfish,la lotte,lotte,NA,NA,NA,lotte*,NA,monkfish*,CTA,
608,fisheries,mussel,moule,NA,NA,NA,NA,moule*,NA,mussel*,CTA,
609,fisheries,octopus,poulpe,NA,NA,NA,NA,poulpe*,NA,octopus*,CTA,
610,fisheries,orange roughy,rugueux orange,hoplostète orange,NA,NA,NA,hoplostète* orange*,NA,orange rough*,CTA,
611,fisheries,oyster,huître,NA,NA,NA,NA,huître*,NA,oyster*,CTA,
612,fisheries,pangasius,pangasius,NA,NA,NA,NA,NA,NA,NA,CTA,
613,fisheries,pink snapper,vivaneau rose,NA,NA,NA,NA,vivaneau* rose*,NA,pink snapper*,CTA,
614,fisheries,pollock,goberge,NA,NA,NA,NA,goberge*,NA,pollock*,CTA,
615,fisheries,prawn,crevette,NA,NA,NA,NA,crevette*,NA,prawn*,CTA,
616,fisheries,red snapper,vivaneau,NA,NA,NA,NA,vivaneau*,NA,red snapper*,CTA,
617,fisheries,salmon,Saumon,saumon,NA,NA,NA,saumon*,NA,salmon*,CTA,
618,fisheries,sardine,sardine,NA,NA,NA,NA,sardine*,NA,sardine*,CTA,
619,fisheries,scallop,coquille,NA,NA,NA,NA,coquille*,NA,scallop*,CTA,
620,fisheries,scallops,escalopes,coquilles,NA,NA,NA,NA,NA,NA,CTA,
621,fisheries,seabass,Loup de mer,x,NA,NA,NA,NA,NA,seabass*,CTA,phoque
622,fisheries,seafood,Fruit de mer,fruit de mer,NA,NA,NA,fruit* de mer,NA,seafood*,CTA,
623,fisheries,shark fin,aileron de requin,NA,NA,NA,NA,aileron* de requin*,NA,shark fin*,CTA,
624,fisheries,shark-fin,aileron de requin,x,NA,NA,NA,NA,NA,shark-fin*,CTA,
625,fisheries,shellfish,fruits de mer,crustacé,NA,NA,NA,crustacé*,NA,shellfish*,CTA,
626,fisheries,shrimp,crevette,x,NA,NA,NA,NA,NA,shrimp*,CTA,
627,fisheries,squid,calamar,encornet,NA,NA,NA,encornet*,NA,squid*,CTA,
628,fisheries,striped bass,basse rayée,bar rayé,NA,NA,NA,bar* rayé*,NA,striped bass*,CTA,
629,fisheries,sturgeon,esturgeon,NA,NA,NA,NA,esturgeon*,NA,sturgeon*,CTA,
630,fisheries,swordfish,espadon,NA,NA,NA,NA,espadon*,NA,swordfish*,CTA,
631,fisheries,tilapia,tilapia,NA,NA,NA,NA,tilapia*,NA,tilapia*,CTA,
632,fisheries,tilefish,poisson tuile,doré de mer,NA,NA,NA,doré* de mer,NA,tilefish*,CTA,
633,fisheries,toothfish,légine,NA,NA,NA,NA,légine*,NA,toothfish*,CTA,
634,fisheries,trout,truite,NA,NA,NA,NA,truite*,NA,trout*,CTA,
635,fisheries,tuna,thon,NA,NA,NA,NA,thon*,NA,tuna*,CTA,
636,fisheries,whitefish,poisson blanc,NA,NA,NA,NA,poisson* blanc*,NA,whitefish*,CTA,
637,fisheries,wreckfish,épave,NA,NA,NA,NA,épave*,NA,wreckfish*,CTA,
638,fisheries,yellow perch,perchaude,NA,NA,NA,NA,perchaude*,NA,yellow perch*,CTA,
639,fisheries,yellowfin,albacore,albacare,NA,NA,NA,albacare*,NA,yellowfin*,CTA,
640,transportation,aero,aéro,NA,NA,NA,NA,aéro*,NA,aero*,CTA,
641,transportation,air canada,Air Canada,air canada,NA,NA,NA,NA,NA,NA,CTA,
642,transportation,westjet,Westjet,westjet,NA,NA,NA,NA,NA,NA,CTA,
643,transportation,airline,Compagnie aérienne,compagnie aérienne,NA,NA,NA,compagnie* aérienne*,NA,airline*,CTA,
644,transportation,air safety,sécurité aérienne,NA,NA,NA,NA,NA,NA,NA,CTA,
645,transportation,air service,service aérien,NA,NA,NA,NA,service* aérien*,NA,air service*,CTA,
646,transportation,air traffic,trafic aérien,NA,NA,NA,NA,trafic* aérien*,NA,air traffic*,CTA,
647,transportation,air travel,voyage en avion,transport aérien,NA,NA,NA,transport* aérien*,NA,air travel*,CTA,voyage aérien
648,transportation,aviation,aviation,NA,NA,NA,NA,NA,NA,NA,CTA,
649,transportation,bus rapid transit,transport rapide par autobus,transit rapide par bus,NA,NA,NA,NA,NA,bus rapid transit*,CTA,
650,transportation,mass transit,le transport en commun,transport de masse,NA,NA,NA,transport* de masse,NA,NA,CTA,"transport en commun, trnasport public"
651,transportation,public transit,transport en commun,NA,NA,NA,NA,transport* en commun,NA,NA,CTA,
652,transportation,public bus,bus public,NA,autobus public,NA,NA,bus public*,autobus public*,public bus*,CTA,
653,transportation,intercity bus,autobus interurbain,autocar,NA,NA,NA,autocar*,NA,NA,CTA,autobus interurbain
654,transportation,inter-city bus,bus interurbain,NA,NA,NA,NA,NA,NA,NA,CTA,bus interurbain
655,transportation,rail,rail,NA,NA,NA,NA,rail*,NA,rail*,CTA,rampe
656,transportation,railroad,chemin de fer,NA,NA,NA,NA,chemin* de fer,NA,railroad*,CTA,
657,transportation,NA,navire,NA,NA,NA,NA,navire*,NA,NA,CTA,"bateau, paquebot, cargo"
658,transportation,subway,métro,NA,NA,NA,NA,métro*,NA,subway*,CTA,
659,transportation,tramway,tramway,NA,NA,NA,NA,tramway*,NA,tramway*,CTA,
660,transportation,transport,transport,NA,NA,NA,NA,transport*,NA,transport*,CTA,
661,transportation,travel,Voyage,NA,NA,NA,NA,voyage*,NA,travel*,CTA,déplacement
662,transportation,truck,un camion,camion,NA,NA,NA,camion*,NA,truck*,CTA,
663,transportation,highway,Autoroute,x,NA,NA,NA,NA,NA,highway*,CTA,voie rapide
664,transportation,freeway,autoroute,NA,NA,NA,NA,autoroute*,NA,freeway*,CTA,
665,transportation,bridge maintenance,entretien du pont,entretien de pont,NA,NA,NA,entret* d* pont*,NA,bridge maintenance*,CTA,
666,transportation,speed limit,limitation de vitesse,limite de vitesse,NA,NA,NA,limite* de vitesse*,NA,speed limit*,CTA,
667,transportation,coast guard,garde-côte,NA,garde côtière,NA,NA,garde côt*,garde-côt*,coast guard*,CTA,
668,transportation,cargo,cargaison,NA,NA,NA,NA,cargaison*,NA,cargo*,CTA,"marchandise, chargement"
669,transportation,freight,cargaison,fret,NA,NA,NA,fret*,NA,freight*,CTA,
670,transportation,taxi,Taxi,taxi,NA,NA,NA,taxi*,NA,taxi*,CTA,
671,transportation,limo,limousine,NA,NA,NA,NA,limousine*,NA,limo*,CTA,
672,transportation,limousine,limousine,x,NA,NA,NA,NA,NA,limousine*,CTA,
673,transportation,airport,aéroport,NA,NA,NA,NA,aéroport*,NA,airport*,CTA,
674,transportation,tsa,tsa,tsa,NA,NA,NA,NA,NA,NA,CTA,
675,transportation,toll road,route à péage,NA,NA,NA,NA,route* à péage*,NA,toll road*,CTA,
676,transportation,traffic jam,embouteillage,NA,bouchon,NA,NA,embouteillage*,bouchon*,traffic jam*,CTA,congestion routière
677,transportation,congestion pric,prix de congestion,tari de la congestion,NA,NA,NA,tari* de la congestion,NA,congestion pric*,CTA,
678,transportation,parking,parking,stationnement,NA,NA,NA,stationnement*,NA,parking*,CTA,
679,transportation,drivers licens,permis de conduire,permi de conduire,NA,NA,NA,permi* de conduire,NA,drivers licens*,CTA,
680,transportation,road,route,NA,NA,NA,NA,route*,NA,road*,CTA,"chemin, rang"
681,transportation,roads,routes,NA,NA,NA,NA,NA,NA,NA,CTA,
682,transportation,NA,Port,x,NA,NA,NA,NA,NA,NA,CTA,
683,transportation,bicycle,vélo,NA,bicyclette,NA,NA,vélo*,bicyclette*,bicycle*,CTA,
684,transportation,pedestrian,piéton,NA,NA,NA,NA,piéton*,NA,pedestrian*,CTA,"à pied, marche"
685,transportation,sidewalk,trottoir,NA,NA,NA,NA,trottoir*,NA,sidewalk*,CTA,bande piétonne
686,transportation,walking,en marchant,marcher,NA,NA,NA,NA,NA,NA,CTA,
687,transportation,cycli,cycli,NA,NA,NA,NA,cycl*,NA,cycli*,CTA,
688,transportation,megabus,mégabus,megabus,NA,NA,NA,NA,NA,NA,CTA,
689,transportation,greyhound,levrette,greyhound,NA,NA,NA,NA,NA,NA,CTA,
690,transportation,coach canada,entraîneur canada,coach canada,NA,NA,NA,NA,NA,NA,CTA,
691,transportation,auto industry,industrie automobile,NA,NA,NA,NA,NA,NA,auto* industry,CTA,
692,transportation,automobile,voiture,automobile,auto,NA,NA,auto*,NA,automobile*,CTA,
693,transportation,NA,voiture,NA,NA,NA,NA,voiture*,NA,NA,CTA,
694,transportation,NA,voitures,NA,NA,NA,NA,NA,NA,NA,CTA,
695,transportation,driver licens,permis de conduire,x,NA,NA,NA,NA,NA,driver licens*,CTA,
696,transportation,driver licenc,permis de conduire,x,NA,NA,NA,NA,NA,driver licenc*,CTA,
697,transportation,drivers licenc,permis de conduire,x,NA,NA,NA,NA,NA,drivers licenc*,CTA,
698,transportation,driver's licens,permis de conduire,x,NA,NA,NA,NA,NA,driver's licens*,CTA,
699,transportation,driver's licenc,licence de conducteur,x,NA,NA,NA,NA,NA,driver's licenc*,CTA,
700,transportation,vehicle,véhicule,NA,NA,NA,NA,véhicule*,NA,vehicle*,CTA,
701,crime,abduct,enlever,NA,NA,NA,NA,enleve*,enlèv*,abduct*,CTA,
702,crime,acquit,acquitter,NA,NA,NA,NA,acquitt*,NA,acquit*,CTA,
703,crime,capital punishment,Peine capitale,peine de mort,peine capitale,NA,NA,peine* de mort,peine* capitale*,capital punishment*,CTA,
704,crime,convict,condamné,NA,reconnaître coupable,NA,NA,condamn*,reconn* coupable*,convict*,CTA,
705,crime,court,tribunal,NA,NA,NA,NA,tribuna*,NA,court*,CTA,
706,crime,crime,la criminalité,criminalité,crime,NA,NA,crim*,NA,crim*,CTA,"infraction, délit"
707,crime,criminal,criminel,NA,pénal,NA,NA,péna*,NA,criminal*,CTA,
708,crime,crown prosecutor,Procureur de la Couronne,procureur de la couronne,NA,NA,NA,procureur* de la couronne,NA,crown prosecutor*,CTA,
709,crime,death penalty,peine de mort,NA,NA,NA,NA,NA,NA,NA,CTA,
710,crime,decriminal,décriminal,NA,NA,NA,NA,décriminal*,NA,decriminal*,CTA,
711,crime,extortion,extorsion,NA,NA,NA,NA,extorsion*,NA,extortion*,CTA,
712,crime,felon,criminel,NA,NA,NA,NA,criminel*,NA,felon*,CTA,
713,crime,homocid,homocide,homicid,NA,NA,NA,homocid*,NA,homocid*,CTA,
714,crime,imprison,emprisonner,NA,NA,NA,NA,emprison*,NA,imprison*,CTA,
715,crime,incarcerat,incarcéré,incarcér,NA,NA,NA,incarcér*,NA,incarcerat*,CTA,
716,crime,incrimin,incriminé,incrimin,NA,NA,NA,incrimin*,NA,incrimin*,CTA,dénoncer
717,crime,indict,accuser,NA,inculper,NA,NA,accus*,inculp*,indict*,CTA,
718,crime,unlawful,illicite,NA,NA,NA,NA,illicite*,NA,unlawful*,CTA,illégal
719,crime,investigation,enquête,NA,NA,NA,NA,enquête*,NA,investigation*,CTA,investigation
720,crime,justice,Justice,justice,NA,NA,NA,justice*,NA,justice*,CTA,
721,crime,kidnap,enlever,kidnapper,NA,NA,NA,kidnap*,NA,kidnap*,CTA,"""enlever"" déjà là"
722,crime,law enforc,application de la loi,applic de la loi,NA,NA,NA,appli* d* loi*,application* de la loi,law enforc*,CTA,"respect des lois, maintien de l'ordre public"
723,crime,manslaughter,homicide involontaire,x,NA,NA,NA,NA,NA,NA,CTA,"""homicide"" déjà là"
724,crime,misdemeanor,délit,NA,méfait,NA,NA,délit*,méfait*,misdemeanor*,CTA,infraction
725,crime,murder,meurtre,NA,NA,NA,NA,meurtre*,NA,murder*,CTA,
726,crime,parole,parole,probation,libération conditionnelle,NA,NA,probation*,libération* conditionnelle*,parole*,CTA,
727,crime,plaintiff,demandeur,NA,plaignant,NA,NA,demandeu*,plaignant*,plantiff*,CTA,requérant
728,crime,police,police,NA,NA,NA,NA,polic*,NA,police*,CTA,
729,crime,prison,prison,NA,NA,NA,NA,prison*,NA,prison*,CTA,pénitencier
730,crime,public defender,défenseur public,NA,NA,NA,NA,défenseu* publi*,NA,public defender*,CTA,
731,crime,public safety,la sécurité publique,sécurité publique,NA,NA,NA,NA,NA,NA,CTA,
732,crime,rape,viol,NA,NA,NA,NA,viol*,NA,rape*,CTA,
733,crime,rapist,violeur,NA,NA,NA,NA,violeu*,NA,rapist*,CTA,
734,crime,rcmp,rcmp,grc,NA,NA,NA,NA,NA,NA,CTA,
735,crime,sexual assault,agression sexuelle,NA,NA,NA,NA,agress* sexuel*,NA,sexual assault*,CTA,
736,crime,sexual violence,violence sexuelle,NA,NA,NA,NA,violence* sexuelle*,NA,sexual violence*,CTA,
737,crime,border guard,garde-frontière,NA,NA,NA,NA,garde*-frontière*,NA,border guard*,CTA,garde*-frontière*?
738,crime,border inspect,inspection à la frontière,inspection frontalière,NA,NA,NA,inspect* front*,NA,border inspect*,CTA,
739,crime,port police,police portuaire,NA,NA,NA,NA,NA,NA,NA,CTA,
740,crime,racketeer,racketteur,NA,trafiquant,NA,NA,rackketeu*,traquiant*,racketeer*,CTA,
741,crime,bootleg,de contrebande,contrebande,NA,NA,NA,contreband*,NA,bootleg*,CTA,
742,crime,fraud,fraude,NA,NA,NA,NA,fraude*,NA,fraud*,CTA,
743,crime,money laundering,blanchiment d'argent,NA,NA,NA,NA,NA,NA,NA,CTA,
744,crime,drug trafficking,Trafic de drogue,trafic de drogue,NA,NA,NA,trafic de drogue*,NA,NA,CTA,
745,crime,jury,jury,NA,NA,NA,NA,NA,NA,NA,CTA,
746,crime,juror,juré,NA,NA,NA,NA,juré*,NA,juror*,CTA,
747,crime,detention,retenue,détention,NA,NA,NA,détention*,NA,detention*,CTA,"incarcération, emprisonnement"
748,crime,child porn,pornographie juvénile,NA,NA,NA,NA,pornograph* juvénile,NA,child porn*,CTA,
749,crime,child abuse,abus sur mineur,maltraitance d'enfant,abus d'enfant,NA,NA,maltraitance d*enfant*,abus d*enfant*,child* abuse*,CTA,"exploitation des enfants, maltraitance des enfants, abus sur mineur, astérisques?"
750,crime,missing child,enfant disparu,NA,NA,NA,NA,enfant* disparu*,NA,missing child*,CTA,enfant porté disparu
751,crime,violence against child,violence contre les enfants,NA,NA,NA,NA,violence* contre les enfants,NA,violence* against child*,CTA,violence envers les enfants
752,crime,child welfare,protection de l'enfance,NA,protection des enfants,NA,NA,NA,NA,NA,CTA,
753,crime,child adoption,adoption d'enfant,NA,NA,NA,NA,adoption* d'enfant*,NA,child* adoption*,CTA,
754,crime,adopt a child,adopter un enfant,NA,NA,NA,NA,NA,NA,NA,CTA,
755,crime,adoptive parent,parent adoptif,NA,NA,NA,NA,parent* adoptif*,NA,adoptive parent*,CTA,
756,crime,adopted child,enfant adopté,NA,NA,NA,NA,enfant* adopté*,NA,adopted child*,CTA,
757,crime,adopted a child,adopté un enfant,NA,NA,NA,NA,NA,NA,NA,CTA,
758,crime,domestic violence,violence domestique,violence conjugale,NA,NA,NA,violence* conjugale*,NA,domestic violence*,CTA,
759,crime,battered women,femmes battues,NA,NA,NA,NA,femme* battue*,NA,battered wom*,CTA,
760,crime,family planning,planning familial,planification familiale,NA,NA,NA,planification* familiale*,NA,family planning*,CTA,
761,crime,child support,pension alimentaire,NA,NA,NA,NA,pension* alimentaire*,NA,child support*,CTA,
762,crime,child custody,la garde des enfants,garde des enfants,garde de l'enfant,NA,NA,NA,NA,child custod*,CTA,
763,crime,teen pregnancy,grossesse chez les adolescentes,grossesse à l'adolescence,NA,NA,NA,grossesse* à l'adolescence,NA,teen pregnanc*,CTA,
764,crime,teenage pregnancy,grossesse chez les adolescentes,x,NA,NA,NA,NA,NA,teenage pregnanc*,CTA,
765,crime,suicide prevention,prévention du suicide,NA,NA,NA,NA,NA,NA,NA,CTA,
766,crime,family service,service familial,service à la famille,NA,NA,NA,service* à la famille,NA,family service*,CTA,
767,crime,elderly abuse,abus de personnes âgées,NA,abus des aînés,maltraitance des aînés,maltraitance des personnes âgées,NA,NA,elderly abuse*,CTA,
768,crime,divorce,divorce,NA,NA,NA,NA,divorce*,NA,divorce*,CTA,
769,crime,marriage,mariage,NA,NA,NA,NA,mariage*,NA,marriage*,CTA,
770,crime,gun control,le contrôle des armes,contrôle des armes,NA,NA,NA,NA,NA,NA,CTA,
771,crime,gun registry,registre des armes à feu,NA,NA,NA,NA,registre* des armes à feu,NA,gun registr*,CTA,
772,crime,long-gun registry,registre des armes d'épaule,NA,NA,NA,NA,registre* des armes d'épaule,NA,long-gun registr*,CTA,
773,crime,restricted firearm,arme à feu à autorisation restreinte,NA,NA,NA,NA,arme* à feu à autorisation* restreinte*,NA,restricted firearm*,CTA,
774,crime,prohibited firearm,arme à feu prohibée,NA,arme à feu interdite,NA,NA,arme* à feu prohibée*,arme* à feu interdite*,prohibited firearm*,CTA,
775,crime,riot,émeute,NA,NA,NA,NA,émeute*,NA,riot*,CTA,révolte
776,crime,child protection,protection de l’enfance,x,NA,NA,NA,NA,NA,NA,CTA,"""protection de l'enfance"" déjà là"
777,crime,prostitut,prostituée,prostitu,NA,NA,NA,prostitu*,NA,prostitut*,CTA,
778,crime,incest,inceste,NA,NA,NA,NA,incest*,NA,incest*,CTA,
779,crime,theft,vol,NA,NA,NA,NA,vol*,NA,theft*,CTA,
780,crime,recidivis,récidive,NA,NA,NA,NA,récidiv*,NA,recidivis*,CTA,
781,crime,mafia,mafia,NA,NA,NA,NA,NA,NA,NA,CTA,
782,crime,counterfeit money,fausse monnaie,monnaie contrefaite,NA,NA,NA,NA,NA,NA,CTA,
783,crime,counterfeit bill,faux billet,billet contrefait,NA,NA,NA,faux billet*,billet* contrefait*,counterfeit bill*,CTA,
784,crime,counterfeit coin,pièce de monnaie contrefaite,x,NA,NA,NA,NA,NA,counterfeit coin*,CTA,
785,crime,forge money,forger de l'argent,forge de l'argent,NA,NA,NA,NA,NA,NA,CTA,
786,crime,forged money,fausse monnaie,NA,NA,NA,NA,NA,NA,NA,CTA,
787,crime,forging money,forger de l'argent,NA,NA,NA,NA,NA,NA,NA,CTA,
788,crime,shooting,tournage,fusillade,NA,NA,NA,fusillade*,NA,shooting*,CTA,tir
789,crime,human trafficking,trafic d'êtres humains,NA,traite des êtres humains,NA,NA,NA,NA,NA,CTA,
790,crime,arms trafficking,trafic d'armes,NA,NA,NA,NA,NA,NA,NA,CTA,
791,crime,young offender,jeune délinquant,jeune contrevenant,NA,NA,NA,jeune* délinquant*,jeune* contrevenant*,young offender*,CTA,
792,crime,juvenile delinquen,Délinquen juvénile,délinquan juvénile,NA,NA,NA,délinquan* juvénile*,NA,juvenile delinquen*,CTA,
793,social_welfare,employment insurance,l'assurance-emploi,assurance emploi,assurance-emploi,NA,NA,NA,NA,NA,CTA,
794,social_welfare,food bank,Banque alimentaire,banque alimentaire,NA,NA,NA,banque* alimentaire*,NA,food bank*,CTA,
795,social_welfare,impoverish,appauvrir,NA,NA,NA,NA,appauvri*,NA,impoverish*,CTA,
796,social_welfare,low-income,faible revenu,NA,NA,NA,NA,faible* revenu*,NA,low-income*,CTA,
797,social_welfare,old age security,la sécurité de la vieillesse,sécurité de la vieillesse,NA,NA,NA,NA,NA,NA,CTA,
798,social_welfare,pension,Pension,pension,NA,NA,NA,pension*,NA,pension*,CTA,
799,social_welfare,poverty,la pauvreté,pauvreté,NA,NA,NA,NA,NA,NA,CTA,
800,social_welfare,public assistance,assistance publique,aide publique,NA,NA,NA,NA,NA,NA,CTA,
801,social_welfare,public welfare,bien-être public,NA,NA,NA,NA,NA,NA,NA,CTA,
802,social_welfare,shelter,abri,NA,refuge,NA,NA,abri*,refuge*,shelter*,CTA,
803,social_welfare,single mother,mère célibataire,NA,mère seule,NA,NA,mère* célibataire*,mère* seule*,single mother*,CTA,
804,social_welfare,single parent,parent célibataire,NA,parent seul,NA,NA,parent* célibataire*,parent* seul*,single parent*,CTA,
805,social_welfare,single-mother,mère célibataire,mère monoparentale,NA,NA,NA,mère* monoparentale*,NA,single-mother*,CTA,
806,social_welfare,single-parent,parent célibataire,monoparental,NA,NA,NA,monoparental*,NA,single-parent*,CTA,
807,social_welfare,social assistance,Assistance sociale,assistance sociale,aide sociale,NA,NA,NA,NA,NA,CTA,
808,social_welfare,social deprivation,privatisation sociale,exclusion sociale,détresse sociale,NA,NA,NA,NA,NA,CTA,"privation sociale, misère sociale"
809,social_welfare,social service,service social,service social,NA,NA,NA,service* socia*,NA,social service*,CTA,
810,social_welfare,unemployment insurance,assurance chômage,assurance chômage,assurance-chômage,NA,NA,assurance*chômage,NA,unemployment insurance*,CTA,assurance*chômage?
811,social_welfare,welfare,aide sociale,bien-être,NA,NA,NA,NA,NA,NA,CTA,
812,social_welfare,guaranteed income,revenu garanti,NA,NA,NA,NA,revenu* garanti*,NA,guaranteed income*,CTA,
